obd.time,obd.trip,obd.ecu,obd.temp,obd.rpm,obd.vss,obd.throttlepos,obd.map,obd.sparkadv,gps.lon,gps.lat,gps.alt,trip.tripid,
1334513754.922970,1.000000,0.000000,90.000000,3035.000000,104.000000,43.137257,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513755.923206,1.000000,0.000000,90.000000,3077.500000,106.000000,42.745098,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513756.923468,1.000000,0.000000,90.000000,3076.250000,108.000000,29.019608,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513757.923699,1.000000,0.000000,90.000000,2713.250000,109.000000,27.450981,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513758.923940,1.000000,0.000000,90.000000,2646.250000,110.000000,28.627451,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513759.924191,1.000000,0.000000,90.000000,2669.750000,111.000000,25.490196,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513760.924420,1.000000,0.000000,90.000000,2667.000000,111.000000,30.980392,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513761.924674,1.000000,0.000000,90.000000,2678.500000,111.000000,30.196079,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513763.049962,1.000000,0.000000,90.000000,2683.250000,111.000000,30.980392,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513764.050197,1.000000,0.000000,91.000000,2699.750000,112.000000,26.274509,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513765.050457,1.000000,0.000000,91.000000,2709.500000,112.000000,16.470589,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513766.050692,1.000000,0.000000,91.000000,2696.750000,111.000000,18.823530,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513767.050944,1.000000,0.000000,91.000000,2674.750000,111.000000,14.509804,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513768.051198,1.000000,0.000000,91.000000,2628.750000,109.000000,14.901960,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513769.051343,1.000000,0.000000,91.000000,2628.750000,109.000000,28.235294,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513770.051588,1.000000,0.000000,91.000000,2652.000000,110.000000,14.509804,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513771.173167,1.000000,0.000000,91.000000,2662.250000,110.000000,17.647058,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513772.173406,1.000000,0.000000,91.000000,2664.250000,110.000000,10.196078,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513773.173654,1.000000,0.000000,91.000000,2650.000000,110.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513774.173914,1.000000,0.000000,91.000000,2597.750000,109.000000,9.411765,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513775.174160,1.000000,0.000000,91.000000,2563.000000,109.000000,19.607843,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513776.174417,1.000000,0.000000,91.000000,2655.750000,110.000000,28.235294,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513777.174658,1.000000,0.000000,91.000000,2722.250000,113.000000,30.588236,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513778.174899,1.000000,0.000000,91.000000,2777.750000,115.000000,18.823530,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513779.280221,1.000000,0.000000,91.000000,2767.500000,114.000000,16.470589,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513780.280458,1.000000,0.000000,91.000000,2741.000000,114.000000,11.372549,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513781.280717,1.000000,0.000000,91.000000,2718.250000,112.000000,21.960785,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513782.280957,1.000000,0.000000,90.000000,2709.500000,112.000000,19.215687,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513783.281180,1.000000,0.000000,90.000000,2697.750000,112.000000,24.313726,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513784.281436,1.000000,0.000000,90.000000,2691.000000,111.000000,24.313726,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513785.281663,1.000000,0.000000,90.000000,2687.000000,111.000000,30.980392,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513786.281914,1.000000,0.000000,90.000000,2696.750000,112.000000,31.764706,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513787.408658,1.000000,0.000000,90.000000,2696.750000,112.000000,28.627451,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513788.408894,1.000000,0.000000,90.000000,2697.750000,111.000000,25.098040,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
